融资方,投资机构,融资金额,所属行业,宣布时间,Url
助家生活,N/A,500.00万元,家庭服务,2015-04-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26821.shtml
千骥网络,志成资本,N/A,互联网信息服务,2015-04-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25683.shtml
壹克科技,N/A,N/A,邮购及电子销售,2015-04-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25428.shtml
天地汇,启赋资本,N/A,互联网信息服务,2015-04-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21521.shtml
环球塑化网,熔岩创投/粤科创投/中科中广创投,N/A,邮购及电子销售,2015-04-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21500.shtml
易兴科技,赛马资本,N/A,电子元件及组件制造,2015-04-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21498.shtml
卓正医疗,经纬中国,"1,750.00万美元",综合医院,2015-04-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21496.shtml
童子军户外网,N/A,300.00万元,互联网信息服务,2015-04-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21495.shtml
多知科技,北极光创投,N/A,互联网信息服务,2015-04-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21494.shtml
和诚智达,N/A,"3,500.00万元",其他未列明的商务服务,2015-04-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21493.shtml
康泽药业,汇智投资/中科招商/天星资本,"4,800.00万元",西药批发,2015-04-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27273.shtml
优选快线,九合创投,N/A,互联网信息服务,2015-04-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25265.shtml
云数海量,时尚传媒,"1,000.00万元",应用软件服务,2015-04-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21478.shtml
天和亿,百度/红杉中国,N/A,应用软件服务,2015-04-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21476.shtml
群核信息,IDG资本/纪源资本,"1,000.00万美元",互联网信息服务,2015-04-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21469.shtml
数人科技,N/A,N/A,计算机系统服务,2015-04-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28786.shtml
华丽包装,天星资本/轻盐创投/中海长益/银河吉星,"3,117.90万元",纸和纸板容器的制造,2015-04-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27243.shtml
长信科技,保腾创投,"48,560.00万元",光电子器件及其他电子器件制造,2015-04-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27233.shtml
正海磁材,平安资产,"2,600.00万元",其他非金属矿物制品制造,2015-04-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27078.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

神州易桥,泰达新源,"12,000.00万元",会计，审计及税务服务,2015-04-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27019.shtml
为家,挚盈资本,N/A,其他居民服务,2015-04-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25820.shtml
Ola,Accel/老虎基金,"40,000.00万美元",应用软件服务,2015-04-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25138.shtml
随手科技,源码资本/昆仲资本,N/A,应用软件服务,2015-04-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21550.shtml
宽客网络,N/A,"3,500.00万美元",互联网信息服务,2015-04-10,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21492.shtml
骏汇股份,天星资本,704.00万元,摩托车零部件及配件制造,2015-04-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27208.shtml
玩车教授,暴龙投资/水木投资,"1,500.00万元",互联网信息服务,2015-04-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26632.shtml
Foream,歌石投资,N/A,其他电子设备制造,2015-04-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24761.shtml
星空伟达,博派资本,N/A,移动电信服务,2015-04-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24396.shtml
玖富,N/A,"11,000.00万美元",互联网信息服务,2015-04-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21437.shtml
麦子金服,海通创新资本,N/A,投资与资产管理,2015-04-09,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21436.shtml
爱家纪,CA创投/熊猫资本,"1,000.00万美元",互联网信息服务,2015-04-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27937.shtml
熙香小厨,纽信创投,N/A,正餐服务,2015-04-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26366.shtml
捷通泰瑞,睿德信,N/A,医疗诊断，监护及治疗设备制造,2015-04-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26182.shtml
厦门傅为,稳国基金,N/A,互联网信息服务,2015-04-08,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25808.shtml
耳目网,麟玺创投,N/A,互联网信息服务,2015-04-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28739.shtml
绿清科技,燕山航空创投/天星资本,"1,647.62万元",其他专用化学产品制造,2015-04-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27198.shtml
康盛股份,星河资本/富鹏投资,"39,900.00万元",其他通用零部件制造,2015-04-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27065.shtml
天博智,湖杉资本,N/A,其他电子设备制造,2015-04-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26291.shtml
恒爱高科,英诺天使/厚德创新谷孵化器,N/A,其他电子设备制造,2015-04-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26068.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

Playground Global,谷歌/红点投资/腾讯,N/A,电子元件及组件制造,2015-04-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21418.shtml
慧达天科技,东方富海,800.00万美元,互联网信息服务,2015-04-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21415.shtml
美餐网,凯鹏华盈/诺基亚成长基金/挚信资本,N/A,互联网信息服务,2015-04-07,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21414.shtml
海拍客,远瞻资本,N/A,邮购及电子销售,2015-04-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26660.shtml
布比网络,点亮资本,N/A,其他未列明的金融活动,2015-04-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26273.shtml
西瓜妹,永宣创投,N/A,互联网信息服务,2015-04-06,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25485.shtml
快乐惠,N/A,"5,000.00万元",百货零售,2015-04-05,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21413.shtml
阿农科技,N/A,500.00万元,邮购及电子销售,2015-04-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25273.shtml
友谦科技,N/A,"1,111.00万元",互联网信息服务,2015-04-04,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21419.shtml
拉书单,N/A,N/A,互联网信息服务,2015-04-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26597.shtml
豆号网,天使湾创投,N/A,互联网信息服务,2015-04-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25611.shtml
星天纪,天使汇/众诚资本,N/A,应用软件服务,2015-04-03,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21408.shtml
宝蕴灵科,N/A,N/A,其他计算机服务,2015-04-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26540.shtml
热呼科技,隆领投资,N/A,互联网信息服务,2015-04-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25834.shtml
平原非标,天星资本/朗程资本/大潮汕投资,"6,778.80万元",其他金属加工机械制造,2015-04-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/22211.shtml
格子箱,光速安振中国/经纬中国,"1,300.00万美元",其他软件服务,2015-04-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21403.shtml
拍拍贷,君联资本/海纳亚洲/鼎珮投资/光速安振中国/红杉中国,"10,000.00万美元",互联网信息服务,2015-04-02,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21203.shtml
秀餐网,N/A,200.00万元,正餐服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29021.shtml
韩品代购,N/A,"1,500.00万元",邮购及电子销售,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28587.shtml
饭嘻餐饮,联科创盈,N/A,邮购及电子销售,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28409.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

融保网络,新浪,"5,000.00万元",互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27880.shtml
宵诺网络,N/A,N/A,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27452.shtml
我爱科技,康十医疗投资基金,300.00万元,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26934.shtml
不俗网,挚盈资本,N/A,邮购及电子销售,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26911.shtml
寻宝之旅,N/A,300.00万元,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26837.shtml
烘焙家,英诺天使,500.00万元,邮购及电子销售,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26622.shtml
艾秀,N/A,N/A,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26479.shtml
安徽节源,国耀创投,"3,000.00万元",环境污染防治专用设备制造,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26435.shtml
一米送,N/A,N/A,邮购及电子销售,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26346.shtml
奥秘城市,N/A,150.00万元,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26222.shtml
与邻网,苏河汇,N/A,邮购及电子销售,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26157.shtml
松果倾诉,N/A,600.00万元,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25972.shtml
脉冲书志,探针投资,N/A,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25814.shtml
绿斑马,N/A,N/A,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25677.shtml
心情香蕉,N/A,"1,500.00万元",其他专业咨询,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25295.shtml
分秒速递,N/A,100.00万元,应用软件服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25183.shtml
租霸,险峰华兴创投/CA创投,"1,200.00万元",互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25178.shtml
不吃到会死,九合创投,N/A,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25166.shtml
砾石,合力投资,N/A,应用软件服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25146.shtml
分尚科技,N/A,N/A,邮购及电子销售,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25111.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

易锐软件,N/A,100.00万元,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24963.shtml
欧拉空间,分享投资,N/A,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24796.shtml
简寻,N/A,N/A,其他未列明的商务服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24758.shtml
壹加康泰,众诚资本,N/A,其他卫生活动,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24721.shtml
真的有料,N/A,N/A,邮购及电子销售,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24661.shtml
果然优,顺为基金,N/A,邮购及电子销售,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24493.shtml
邦桂科技,N/A,"10,000.00万元",邮购及电子销售,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24490.shtml
脚印兄弟,紫辉投资/金科君创,"2,000.00万元",应用软件服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24387.shtml
一起唱,N/A,N/A,应用软件服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24343.shtml
闪聘网,汉能/东方富海,"1,280.00万元",互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24177.shtml
肉肉,晨兴创投,N/A,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23964.shtml
零钱包,蓝驰创投,N/A,应用软件服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23675.shtml
亚念信息,N/A,500.00万元,其他未列明的商务服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23593.shtml
嗨家,N/A,"2,000.00万元",互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/23404.shtml
找我科技,合一资本/北软汇智,N/A,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/22708.shtml
请他教,梅花天使创投/纽信创投,N/A,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/22525.shtml
老枝花卤,小马蜂创投,N/A,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21389.shtml
车女婿,N/A,N/A,互联网信息服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21386.shtml
贴贴科技,N/A,"3,000.00万美元",应用软件服务,2015-04-01,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21381.shtml
最会游,青骢资本/飞马旅,N/A,互联网信息服务,2015-03-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26304.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

债全网,京北投资,N/A,互联网信息服务,2015-03-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25023.shtml
我有饭,N/A,N/A,应用软件服务,2015-03-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25019.shtml
口贷网,深创投,N/A,其他未列明的金融活动,2015-03-31,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21351.shtml
进化动力,北极光创投,N/A,计算机系统服务,2015-03-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28940.shtml
车满满,九合创投,N/A,互联网信息服务,2015-03-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28816.shtml
翼畅网络,物易投资,306.00万元,其他软件服务,2015-03-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26740.shtml
仁仁科技,纪源资本,N/A,互联网信息服务,2015-03-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26176.shtml
联众律商,险峰华兴创投,N/A,其他专业咨询,2015-03-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25927.shtml
日贸通,阿米巴资本,N/A,邮购及电子销售,2015-03-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25200.shtml
图黎科技,博派资本,N/A,移动电信服务,2015-03-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24534.shtml
宅米,祥峰集团,N/A,互联网信息服务,2015-03-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21297.shtml
贞观雨科技,华人文化投资/新天域资本/IDG资本/经纬中国,"6,000.00万美元",互联网信息服务,2015-03-30,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21293.shtml
三维度科技,春山浦江,N/A,应用软件服务,2015-03-29,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21290.shtml
女神来这儿,荷多投资,100.00万元,互联网信息服务,2015-03-28,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25114.shtml
太阳纸业,华安未来资产,"10,200.00万元",机制纸及纸板制造,2015-03-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27232.shtml
柠萌影视,腾讯,"10,000.00万元",电影制作与发行,2015-03-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24334.shtml
樱桃老师,N/A,N/A,互联网信息服务,2015-03-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21280.shtml
91App,AppWorks/华威,900.00万美元,应用软件服务,2015-03-27,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21272.shtml
杭州哲信,凯泰润汇,"1,900.00万元",计算机系统服务,2015-03-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28649.shtml
快马医疗,真顺基金,N/A,其他卫生活动,2015-03-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26467.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

暖暖交友,险峰华兴创投,N/A,互联网信息服务,2015-03-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25497.shtml
决胜网,信中利/线性资本,N/A,其他未列明的教育,2015-03-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21275.shtml
旋之律,红杉中国,N/A,应用软件服务,2015-03-26,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21266.shtml
易君财富,乾祥海泉,"2,000.00万元",互联网信息服务,2015-03-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25965.shtml
春水堂,永宣创投/同创伟业/合力投资,"8,000.00万元",邮购及电子销售,2015-03-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21259.shtml
蚂蜂窝,N/A,N/A,互联网信息服务,2015-03-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21258.shtml
搜学宝,金枫创投,N/A,互联网信息服务,2015-03-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21255.shtml
我要洗衣,N/A,400.00万元,互联网信息服务,2015-03-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21247.shtml
贝美互动,N/A,N/A,电子元件及组件制造,2015-03-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21236.shtml
觅食,晨兴创投,400.00万美元,互联网信息服务,2015-03-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21235.shtml
物流小秘,IDG资本/华创资本,"1,000.00万美元",应用软件服务,2015-03-25,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21023.shtml
味库,松禾资本,"2,000.00万元",快餐服务,2015-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25631.shtml
酒店哥哥,N/A,N/A,互联网信息服务,2015-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21238.shtml
骑摆客,华创资本/IDG资本/高榕资本,"1,500.00万美元",互联网信息服务,2015-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21225.shtml
多宝时代,常州高新创投,400.00万元,互联网信息服务,2015-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21224.shtml
公平价,经纬中国/晨兴创投,"1,000.00万美元",互联网信息服务,2015-03-24,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21223.shtml
育易网络,创业接力,N/A,互联网信息服务,2015-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28313.shtml
壹生科技,N/A,N/A,邮购及电子销售,2015-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27226.shtml
51猎头,恩颐投资/清石资产,N/A,互联网信息服务,2015-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21218.shtml
飞盒艺术派,戈壁,650.00万元,互联网信息服务,2015-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21211.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

小鹿叮叮,合力投资,N/A,邮购及电子销售,2015-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21207.shtml
Coding,光速安振中国/IDG资本,N/A,应用软件服务,2015-03-23,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21206.shtml
柚子街,N/A,800.00万元,互联网信息服务,2015-03-22,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26389.shtml
这里,集结号资本,N/A,应用软件服务,2015-03-22,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25583.shtml
奶酪汇,荷多投资/海银资本,N/A,互联网信息服务,2015-03-22,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25577.shtml
ASK-APP,初心资本,N/A,应用软件服务,2015-03-21,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24987.shtml
猫叔刺身,乐尧创投/东熙投资,N/A,邮购及电子销售,2015-03-20,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27438.shtml
华闻传媒,涌瑞投资,"9,232.50万元",投资与资产管理,2015-03-20,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27017.shtml
MagicMed,云天使基金,N/A,其他电子设备制造,2015-03-20,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26322.shtml
硬派健身,顺为基金,N/A,互联网信息服务,2015-03-20,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24255.shtml
企鹅吃喝,真格基金,100.00万元,互联网信息服务,2015-03-20,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21198.shtml
高威,Fresco Capital,100.00万美元,应用软件服务,2015-03-20,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21192.shtml
神爸信息科技,N/A,N/A,邮购及电子销售,2015-03-20,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21191.shtml
老兵汇,坚果创投,N/A,职业中介服务,2015-03-19,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27040.shtml
西祠信息,紫金汇文,"7,650.00万元",计算机系统服务,2015-03-19,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21194.shtml
楼下100,安芙兰创投,"1,000.00万元",邮购及电子销售,2015-03-19,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21190.shtml
姨匠科技,联信投资,N/A,肥皂及合成洗涤剂制造,2015-03-19,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21171.shtml
首惠时代,天图资本,"20,000.00万元",互联网信息服务,2015-03-19,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21169.shtml
中金岭南,国泰华鼎,"14,960.00万元",铅锌矿采选,2015-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26949.shtml
乐信付,N/A,N/A,互联网信息服务,2015-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/22386.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

笨熊造饭,N/A,"1,000.00万元",互联网信息服务,2015-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21157.shtml
问津,N/A,500.00万元,互联网信息服务,2015-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21136.shtml
红领巾科技,N/A,N/A,互联网信息服务,2015-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21135.shtml
优信拍,KKR,"7,000.00万美元",互联网信息服务,2015-03-18,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21133.shtml
好孩子中国,中合供销股权投资/北京金石农投,"18,887.32万元",投资与资产管理,2015-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28326.shtml
爱多云智,坚果创投,N/A,其他电子设备制造,2015-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27043.shtml
全城热炼,N/A,N/A,应用软件服务,2015-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21119.shtml
易分期,N/A,500.00万元,互联网信息服务,2015-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21109.shtml
路人甲,N/A,200.00万元,互联网信息服务,2015-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21108.shtml
房呀,顺为基金,N/A,互联网信息服务,2015-03-17,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21107.shtml
库艾信息科技,凯洲资本,200.00万元,互联网信息服务,2015-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28392.shtml
南通科技,京国发投资,"47,426.57万元",金属切削机床制造,2015-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/27776.shtml
人鱼线,探针创投,N/A,应用软件服务,2015-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/26657.shtml
云足疗,N/A,500.00万元,应用软件服务,2015-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21106.shtml
泊友慧,平安创新中心/涌铧投资,"1,600.00万元",应用软件服务,2015-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21082.shtml
青年菜君,真格基金/中国平安/联创策源,N/A,互联网信息服务,2015-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21079.shtml
Ensogo,Ward Ferry Management ,760.00万美元,邮购及电子销售,2015-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21078.shtml
8868交易平台,永宣创投/经纬中国,"1,000.00万美元",互联网信息服务,2015-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21006.shtml
陆金所,BlackPine/鼎晖投资,"48,500.00万美元",其他未列明的金融活动,2015-03-16,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/19926.shtml
棕熊科技,湖畔山南,N/A,互联网信息服务,2015-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/25471.shtml
融资方,投资机构,融资金额,所属行业,宣布时间,Url

财鱼管家,信天创投,N/A,其他未列明的金融活动,2015-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24410.shtml
和中易技术,N/A,200.00万元,互联网信息服务,2015-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21233.shtml
云联乐牧,N/A,300.00万元,互联网信息服务,2015-03-15,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21232.shtml
扎根网,N/A,N/A,互联网信息服务,2015-03-14,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21080.shtml
维尔科技,同喆投资,525.00万元,其他电子设备制造,2015-03-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28772.shtml
灵光闪现,创新工场,N/A,互联网信息服务,2015-03-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28388.shtml
云麦科技,明势资本,N/A,其他电子设备制造,2015-03-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/24648.shtml
快发,N/A,N/A,理发及美容保健服务,2015-03-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21054.shtml
i-EVER美课美妆,平安创新中心/光速安振中国,"1,000.00万元",互联网信息服务,2015-03-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/21052.shtml
华夏新城,大成创新资本,"40,000.00万元",铁路，道路，隧道和桥梁工程建筑,2015-03-13,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/20835.shtml
荣浪信息,湖畔山南,N/A,互联网信息服务,2015-03-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/29284.shtml
神猪,远镜创投,N/A,应用软件服务,2015-03-12,http://www.chinaventure.com.cn/cvsourcemodel/financing/detail/28412.shtml
